Date,Close,return,Settle,Value
2007-05-21,152.539993,,14.9,5.35
2007-05-22,152.419998,-0.0007869557301562716,14.99,5.35
2007-05-23,152.440002,0.00013123400924114603,14.92,5.35
2007-05-24,151.059998,-0.009093993480040828,15.05,5.35
2007-05-25,151.690002,0.004161882142840258,15.1,5.35
2007-05-29,152.240005,0.0036192780423625706,15.01,5.35
2007-05-30,153.479996,0.008111983485981857,14.92,5.35
2007-05-31,153.320007,-0.0010429531482631022,14.86,5.35
2007-06-01,154.080002,0.004944674861597057,15.07,5.35
2007-06-04,154.100006,0.00012982023173938457,15.17,5.36
2007-06-05,153.490005,-0.003966330361087575,15.25,5.33
2007-06-06,151.839996,-0.010808142382579364,15.34,5.36
2007-06-07,149.100006,-0.01821004650598496,15.67,5.36
2007-06-08,151.039993,0.012927394039729806,15.72,5.36
2007-06-11,151.300003,0.0017199845705509612,15.52,5.33
2007-06-12,149.649994,-0.0109654464172592,15.61,5.36
2007-06-13,151.889999,0.014857373861014291,15.47,5.36
2007-06-14,152.860001,0.006365908290467886,15.33,5.36
2007-06-15,153.070007,0.005649366120087237,15.23,5.36
2007-06-18,152.889999,-0.001176676802484687,15.29,5.36
2007-06-19,153.270004,0.002482396076687872,15.12,5.36
2007-06-20,151.139999,-0.013994545132320586,15.62,5.36
2007-06-21,151.979996,0.0055423539461829634,15.75,5.36
2007-06-22,150.550003,-0.009453632067762533,15.99,5.34
2007-06-25,149.830002,-0.004793943451098828,16.11,5.36
2007-06-26,148.289993,-0.010331562621402966,16.51,5.34
2007-06-27,150.399994,0.014128602839970307,15.91,5.34
2007-06-28,150.380005,-0.00013291442316926534,15.85,5.36
2007-06-29,150.429993,0.000332355977478548,16.34,5.34
2007-07-02,151.789993,0.009000127346039066,16.14,5.36
2007-07-03,152.339996,0.003616898165094076,16.07,5.36
2007-07-05,152.179993,-0.0010508539373415943,16.19,5.36
2007-07-06,152.979996,0.005243182996278869,16.08,5.36
2007-07-09,153.100006,0.0007841741072030096,16.18,5.34
2007-07-10,150.919998,-0.014341460009605796,16.71,5.34
2007-07-11,151.990005,0.007064880261188163,16.74,5.34
2007-07-12,154.389999,0.015667100071421504,16.64,5.34
2007-07-13,154.850006,0.0029750829897080746,16.85,5.34
2007-07-16,154.830002,-0.00012919142026737718,17.05,5.36
2007-07-17,154.75,-0.000516842181397234,17.21,5.36
2007-07-18,154.470001,-0.0018110023648205986,17.61,5.36
2007-07-19,155.070007,0.003876763817058208,17.59,5.36
2007-07-20,153.5,-0.010176105989704259,17.94,5.36
2007-07-23,153.970001,0.003057217709314851,17.78,5.34
2007-07-24,151.300003,-0.01749314411416632,18.7,5.34
2007-07-25,151.610001,0.002046800066974439,18.47,5.34
2007-07-26,148.020004,-0.02396401389673574,19.52,5.35
2007-07-27,145.110001,-0.01985534439833708,19.71,5.34
2007-07-30,147.380005,0.015522236870427841,19.3,5.34
2007-07-31,145.720001,-0.011327340261912244,20.7,5.35
2007-08-01,146.429993,0.004860471759948586,20.75,5.35
2007-08-02,147.600006,0.007958502053980805,20.45,5.35
2007-08-03,143.800003,-0.0260824866675575,21.75,5.34
2007-08-06,146.210007,0.016620526156504167,21.27,5.35
2007-08-07,147.770004,0.010613045678917767,20.32,5.36
2007-08-08,149.830002,0.013844293418909701,20.13,5.41
